"business_id","name","review_count","stars","appt_only","happy_hour","accepts_credit_cards","good_for_groups","outdoor_seating","price_range","good_for_kids","alcohol","noise_level","has_tv","attire","good_for_dancing","delivery","coat_check","smoking","take_out","takes_reservations","waiter_service","wifi","caters","drive_thru","wheelchair_access","byob","corkage","byobcorkage","order_counter","Good_For_Kids","dogs_allowed","open_24_hrs","accepts_insurance","ages_allowed","romantic","intimate","classy","hipster","divey","touristy","trendy","upscale","casual","dessert","latenight","lunch","dinner","breakfast","brunch","garage","street","validated","lot","valet","dj","background_music","karaoke","live","video","jukebox","playlist","coloring","africanamerican","curly","perms","kids","extensions","asian","straightperms","amex","cash_only","mastercard","visa","discover","dairy.free","gluten.free","vegan","kosher","halal","soy.free","vegetarian"
"I83NNRHZRQZiCPcd9QzC5w","Boulder Station Hotel & Casino",139,3,NA,NA,TRUE,NA,NA,2,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"paid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TKE1cyjs9q2PoqMXqEV9Eg","Palace Station Hotel & Casino",352,2.5,NA,NA,TRUE,TRUE,FALSE,2,FALSE,"full_bar","average",TRUE,"casual",NA,FALSE,NA,NA,TRUE,TRUE,TRUE,"free",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9bWrZ702Py5rvXE8sEwfGQ","Eureka Casino",17,3,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QHpdgHsFV7AIGjcAfwVJ_Q","Wildfire Casino",14,3.5,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nF_mARnVRFQpS3boDNgy_w","Smoke Ranch Junction",6,3.5,NA,NA,TRUE,TRUE,FALSE,1,FALSE,"full_bar",NA,NA,"casual",NA,FALSE,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4W7yfl1ve7mRt_ImUIYE_A","Longhorn Hotel & Casino",71,3.5,NA,NA,TRUE,TRUE,FALSE,1,FALSE,"full_bar","average",FALSE,"casual",NA,FALSE,NA,NA,TRUE,FALSE,TRUE,"free",FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nAfwI6ygLXLH_LGQH9GbmA","Beano's Casino",23,3.5,NA,NA,TRUE,TRUE,FALSE,1,FALSE,"full_bar","quiet",TRUE,"casual",NA,FALSE,NA,NA,TRUE,FALSE,TRUE,"no",FALSE,NA,TRUE,FALSE,FALSE,"yes_free",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VYCbveCk-j4UR_aSTuASJA","Village Pub & Casino",37,3.5,NA,TRUE,TRUE,TRUE,FALSE,2,FALSE,"full_bar","average",TRUE,"casual",FALSE,FALSE,FALSE,"yes",TRUE,FALSE,TRUE,"no",TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cuXfotyK8zhjO3vifd9x_Q","Santa Fe Station Hotel & Casino",119,3,NA,NA,TRUE,NA,NA,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"free",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KJnVuzpveyDrHARVNZaYVg","Hooters Casino Hotel",770,2.5,NA,TRUE,TRUE,TRUE,TRUE,2,FALSE,"full_bar","average",TRUE,"casual",FALSE,FALSE,FALSE,"yes",TRUE,FALSE,TRUE,"paid",FALSE,NA,TRUE,FALSE,FALSE,"yes_free",NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
